,season,episode,title,speaker,line,category
0,1,1,Pilot,Jan,"Alright, was there anything you wanted to add to the agenda?",Logistics
1,1,1,Pilot,Jan,"Well, I faxed one over to you this morning.",Logistics
2,1,1,Pilot,Jan,Do you want to look at mine?,Logistics
3,1,1,Pilot,Jan,"OK. Since the last meeting, Ellen and the board have decided we can't justify a Scranton branch and a Stamford branch.",Logistics
4,1,1,Pilot,Jan,"No, no, no, Michael, listen OK. Don't panic. We haven't made... We haven't decided.",Interpersonal
5,1,1,Pilot,Jan,I've spoken to Josh in Stamford. I've told him the same as you and it's up to either him or you to convince me that your branch can incorporate the other.,Logistics
6,1,1,Pilot,Jan,"This does, however, mean that there is going to be downsizing.",HR
7,1,1,Pilot,Jan,So do you think we could keep a lid on this for now? I don't want to worry people unnecessarily.,Logistics
8,1,1,Pilot,Oscar,You guys better update your resumes just like I'm doing.,Logistics
9,1,1,Pilot,Angela,I bet it's gonna be me. Probably gonna be me.,Opinions
10,1,1,Pilot,Oscar,"Yeah but Michael, what if they downsize here?",HR
11,1,2,Diversity Day,Toby,"Hey, we're not all going to sit in a circle Indian style are we? ",Humour
12,1,2,Diversity Day,Oscar,What part Native American?,Opinions
13,1,2,Diversity Day,Oscar,"Two fifteenths, that fraction doesn't make any sense.",Opinions
14,1,2,Diversity Day,Oscar,"OK, Michael, um... Both my parents were born in Mexico.",Personal
15,1,2,Diversity Day,Oscar,"And, uh, they moved to the United Sates a year before I was born. So I grew up in the United States.",Personal
16,1,2,Diversity Day,Oscar,My parents were Mexican.,Personal
17,1,2,Diversity Day,Oscar,Mexican isn't offensive.,Personal
18,1,2,Diversity Day,Oscar,"What connotations, Michael? You meant something.",Personal
19,1,3,Health Care,Jan,"So, which health plan have you decided on?",HR
20,1,3,Health Care,Jan,"Wait, acupuncture? None of the plans have acupuncture. Have you looked at them closely Michael?",HR
21,1,3,Health Care,Jan,The Gold Plan? I'm not even on that plan.,HR
22,1,3,Health Care,Jan,"You know the whole reason that we're doing this, is to save money. So you just need to pick a provider and choose the cheapest plan.",HR
23,1,3,Health Care,Jan,"Sometimes a manager, like yourself, has to deliver the bad news to the employees. I do it all the time.",Logistics
