season,episode,title,scene,speaker,line,Unnamed: 6
1,1,Pilot,10,Jan,"Alright, was there anything you wanted to add to the agenda?",
1,1,Pilot,10,Jan,"Well, I faxed one over to you this morning.",
1,1,Pilot,10,Jan,Do you want to look at mine?,
1,1,Pilot,10,Jan,"OK. Since the last meeting, Ellen and the board have decided we can't justify a Scranton branch and a Stamford branch.",
1,1,Pilot,10,Jan,"No, no, no, Michael, listen OK. Don't panic. We haven't made... We haven't decided.",
1,1,Pilot,10,Jan,I've spoken to Josh in Stamford. I've told him the same as you and it's up to either him or you to convince me that your branch can incorporate the other.,
1,1,Pilot,10,Jan,"This does, however, mean that there is going to be downsizing.",
1,1,Pilot,11,Jan,So do you think we could keep a lid on this for now? I don't want to worry people unnecessarily.,
1,1,Pilot,13,Oscar,You guys better update your resumes just like I'm doing.,
1,1,Pilot,14,Angela,I bet it's gonna be me. Probably gonna be me.,
1,1,Pilot,26,Oscar,"Yeah but Michael, what if they downsize here?",
1,2,Diversity Day,55,Toby,"Hey, we're not all going to sit in a circle Indian style are we? ",
1,2,Diversity Day,57,Oscar,What part Native American?,
1,2,Diversity Day,57,Oscar,"Two fifteenths, that fraction doesn't make any sense.",
1,2,Diversity Day,57,Oscar,"OK, Michael, um... Both my parents were born in Mexico.",
1,2,Diversity Day,57,Oscar,"And, uh, they moved to the United Sates a year before I was born. So I grew up in the United States.",
1,2,Diversity Day,57,Oscar,My parents were Mexican.,
1,2,Diversity Day,57,Oscar,Mexican isn't offensive.,
1,2,Diversity Day,57,Oscar,"What connotations, Michael? You meant something.",
1,3,Health Care,71,Jan,"So, which health plan have you decided on?",
1,3,Health Care,71,Jan,"Wait, acupuncture? None of the plans have acupuncture. Have you looked at them closely Michael?",
1,3,Health Care,71,Jan,The Gold Plan? I'm not even on that plan.,
1,3,Health Care,71,Jan,"You know the whole reason that we're doing this, is to save money. So you just need to pick a provider and choose the cheapest plan.",
1,3,Health Care,71,Jan,"Sometimes a manager, like yourself, has to deliver the bad news to the employees. I do it all the time.",
1,3,Health Care,83,Oscar,He literally won't come out of his office.,
1,3,Health Care,84,Oscar,It's like a pay decrease.,
1,3,Health Care,85,Angela,It's ridiculous. Did you talk to him?,
1,3,Health Care,85,Angela,You let him walk all over you. It's just pathetic.,
1,3,Health Care,96,Jan,Where's Michael Scott?,
1,3,Health Care,96,Jan,"Dwight, listen to me very carefully. You are not a manager of anything. Understand?",
1,3,Health Care,96,Jan,"OK, when Michael gets back, you tell him to call me immediately.",
1,3,Health Care,96,Jan,No. Please don't use my cell phone ever again.,
1,3,Health Care,101,Oscar,"I don't know, Kevin. This is important. I don't want...  There he is.",
1,4,The Alliance,112,Angela,What color do you guys think?,
1,4,The Alliance,112,Angela,I think green is kind of whoreish.,
1,4,The Alliance,114,Angela,"Meredith's allergic to dairy, so...",
1,4,The Alliance,127,Toby,I love their sandwiches.,
1,4,The Alliance,129,Oscar,"My nephew is involved with, um, a charity for cerebral palsy, and I was wondering if maybe you'd like to... you know... if...",
1,4,The Alliance,129,Oscar,Donate to the charity?,
1,4,The Alliance,146,Oscar,"Well, that's what a walk-a-thon is.",
1,4,The Alliance,146,Oscar,"It says it right on the sheet. Look, look at the sheet. It says, ""However many dollars per mile.""",
1,4,The Alliance,146,Oscar,I just think it's kind of cheap to un-donate money to a charity.,
1,4,The Alliance,146,Oscar,"Last year, he walked 18 miles.",
1,4,The Alliance,147,Angela,"Phyllis wanted red, I didn't.",
1,5,Basketball,168,Angela,"Has anyone seen the first-aid kit?  How many times have I told you? I'm the safety officer, not you.",
1,6,Hot Girl,192,Jan,Are you listening to me Michael?,
1,6,Hot Girl,192,Jan,What did I just say?,
1,6,Hot Girl,192,Jan,Alan and I have created an incentive program to increase sales.,
1,6,Hot Girl,192,Jan,I'm not going to do that Michael.,
1,6,Hot Girl,192,Jan,We've created an incentive program to increase sales.,
1,6,Hot Girl,192,Jan,At the end of the month you can reward your top seller with a prize worth up to a thousand dollars.,
1,6,Hot Girl,203,Toby,"Hey, um did you go to uh, Bishop O'Hara?",
1,6,Hot Girl,219,Angela,I don't like to necessarily touch things. I'm just... I'm shopping.,
2,1,The Dundies,236,Oscar, That's supposed to be confidential.,
2,1,The Dundies,239,Jan," It's a, it's, it's a two and a half hour drive from New York, Michael.",
2,1,The Dundies,239,Jan,"No, we don't approve of this Michael. I mean, y-you only had the budget for one office party a year, so... we're not paying for this.",
2,1,The Dundies,239,Jan,Really? I'm dropping an atomic bomb on you?,
2,1,The Dundies,239,Jan,You already had a party on May 5th for no reason.,
2,1,The Dundies,239,Jan,And a tsunami relief fundraiser which somehow lost a lot of money.,
2,1,The Dundies,239,Jan,"Okay, well, I don't understand why anyone would have a tsunami FUN raiser, Michael. I mean, that doesn't even make sense.",
2,1,The Dundies,249,Oscar,"The Dundies are kind of like a kid's birthday party, and you go, and there's really nothing for you to do there. But the kid's having a really good time, so you're, kind of there. That's-that's kind of what it's like.",
2,2,Sexual Harassment,295,Toby,Um... I need to talk to you in your office. It'll just take two seconds.,
2,2,Sexual Harassment,297,Toby,The full story is that Randall resigned because of sexual harassment. So Corporate asked me to do a five minute review of the Company Sexual Harassment policy.,
2,2,Sexual Harassment,297,Toby,And then Corporate is going to send in a lawyer...,
2,2,Sexual Harassment,297,Toby,Just to refresh you... .,
2,2,Sexual Harassment,297,Toby,on our policy.,
2,2,Sexual Harassment,298,Toby,"Yeah, okay. Corporate would like us to do a five minute review of the Company Sexual Harassment policy so I'll go over that later.",
2,2,Sexual Harassment,301,Toby,"So remember, intent is irrelevant. And that's it. Pam?",
2,2,Sexual Harassment,303,Angela,I hate them. You send me these filthy emails and you say forward them to ten people or you'll have bad luck.,
2,2,Sexual Harassment,303,Toby,"Office relationships are never a good idea. Yeah. So let's just try to avoid them. But, um, if you already have one, you should disclose it to HR.",
2,2,Sexual Harassment,308,Toby,"Technically, I am in Human Resources. And Dwight was asking about human anatomy. Um... I'm just sad the public school system failed him so badly.",
2,2,Sexual Harassment,315,Jan,"You seem a little bit agitated, Michael. What's the problem?",
2,2,Sexual Harassment,315,Jan,"Well, that... that's true in a way. You can't say anything.",
2,2,Sexual Harassment,317,Jan," 'Scuse me, I'm sorry.  Michael. Mr. O'Malley is your lawyer.",
2,2,Sexual Harassment,317,Jan,"Mr. O'Malley is our Corporate lawyer. We have him on retainer. To protect the company as well as upper level management, such as yourself.",
2,3,Office Olympics,346,Angela,I do play games. I sing and I dangle things in front of my cats. I play lots of games. Just not at work.,
2,3,Office Olympics,363,Angela,I call it Pam Pong. I count how many times Jim gets up from his desk and goes to reception to talk to you.,
2,4,The Fire,398,Angela,A Purpose Driven Life.,
2,4,The Fire,398,Angela,The DaVinci Code!,
2,4,The Fire,398,Angela,I would take The DaVinci Code... so I could burn The DaVinci Code.,
2,5,Halloween,433,Angela,But we don't keep two sets of books.,
2,5,Halloween,439,Angela,"Well, I looked through all the budgets. And there is one department...",
2,5,Halloween,439,Angela,... that has three people...,
2,5,Halloween,439,Angela,... doing the work that could be done by two.,
2,5,Halloween,443,Angela,I'm just trying to figure out why you're sabotaging things.,
2,6,The Fight,482,Toby,"Um, ex-wife. Yeah. Um, her last name is 'Becker' now.",
2,6,The Fight,500,Angela,This is illegal.,
2,7,The Client,506,Jan,This is a projection of the county's needs...,
2,7,The Client,506,Jan,"Thirteen schools, uh, two hospitals...",
2,7,The Client,508,Jan,"You had no right to do that, Michael.",
2,7,The Client,508,Jan,Alright. But you will let me run this meeting.,
2,7,The Client,509,Oscar,"She had done a background check on me, she had it printed out.",
2,7,The Client,509,Oscar,"Yeah. And she was asking me about stuff, line by line, while we were having dinner.",
2,7,The Client,511,Jan,Do you always shut down the entire office when you leave for an hour?,
2,7,The Client,514,Jan,Why would we need a signal?,
2,7,The Client,514,Jan,"What kinda trouble are you planning on getting in, Michael?",
2,7,The Client,514,Jan,"You're gonna let me do the talking, we agreed on that.",
2,7,The Client,515,Jan,No.  Thank you very much for meeting with us. Have you been waiting long?,
2,7,The Client,515,Jan,"Michael, we got divorced, ok?  I'm so sorry. Excuse me.",
2,7,The Client,516,Jan,I thought we could start by going over the needs of the county.,
2,7,The Client,522,Jan,"We would probably be upset with ourselves if we went this whole night without talking business, so, Dunder-Mifflin can provide a level of personal service to the county that the warehouse chains just can't match.",
2,7,The Client,522,Jan,What's the bottom line?,
2,7,The Client,533,Jan,We'd been fighting for a while-,
2,7,The Client,533,Jan,"He didn't want kids, but I knew that going into it. But he also knew that I did. I guess I thought that he would change his mind; he thought that I would change mine.",
2,7,The Client,533,Jan,I was stupid.,
2,8,Performance Review,559,Angela,I actually look forward to performance reviews. I did the youth beauty pageant circuit. And I enjoyed that quite a bit. I really enjoy being judged. I believe I hold up very well to even severe scrutiny.,
2,8,Performance Review,561,Jan,"No. No, we won't be discussing that, Michael. The only things I wanna talk about during your performance review are your concrete ideas to improve your branch.",
2,8,Performance Review,561,Jan,"Uh, your review is anything but a formality, Michael.",
2,8,Performance Review,561,Jan,I expect you to forget anything that you think may have happened between us and exhibit completely professional behavior.,
2,8,Performance Review,561,Jan,"Ok, that is an example of completely unprofessional behavior.",
2,8,Performance Review,562,Angela,Don't talk about it. Office romances are nobody's business but the people involved.,
2,8,Performance Review,565,Jan," We'll address this in the meeting then. Ok. Ok, bye-bye.  Could you please tell Michael that I'm here?",
2,8,Performance Review,566,Jan,"You know Michael, I think I need to make something clear right off the top. I'm not going to discuss anything with you other than Dunder-Mifflin business.",
2,8,Performance Review,566,Jan,Do we understand each other.,
2,8,Performance Review,568,Jan,So are you still in the middle of the performance reviews then?,
2,8,Performance Review,568,Jan,How is that a business question?,
2,8,Performance Review,568,Jan,"Please don't smell me, Michael.",
2,8,Performance Review,571,Toby,Aren't the suggestions meant for you?,
2,8,Performance Review,571,Angela,Sometimes you talk to us real close.,
2,8,Performance Review,574,Jan,"Because nothing did, Michael. It, I'm not going to say anything more about it, and I would advise that you do the same",
2,8,Performance Review,574,Jan,"Is this how you've been conducting all the reviews, Michael?",
2,8,Performance Review,574,Jan,That's a serious offense!,
2,8,Performance Review,575,Jan,"Look, I know it's your job, I know you have to ask, but I promise you, I'm not gonna discuss it with him, I'm certainly not gonna discuss it with you.  Do you have a light?",
2,8,Performance Review,578,Jan,I'm heading back to New York, Alan and I will conduct your performance review over the phone tomorrow.
2,8,Performance Review,578,Jan,"No, I am saying we are never having this conversation.",
2,8,Performance Review,578,Jan,"Never, for me, always means 'never ever ever.'",
2,8,Performance Review,578,Jan,"With your looks, ok? It's your personality. I mean, you're obnoxious, and rude, and, and, and stupid, and you do have coffee breath, by the way, and, and I don't agree about the b.o., but you are very, very inconsiderate.",
2,8,Performance Review,578,Jan,"Really. You're, you're, you're a great guy, ok?",
2,8,Performance Review,578,Jan,"And you were very sweet, and you stayed up with me and talked with me, cried with me, and I appreciate that-",
2,8,Performance Review,578,Jan,"At this time in my life. I just am not in the place right now where I'm looking for a relationship, so we can still work together, we can still be friends but... ok?",
2,9,E-Mail Surveillance,588,Oscar,"Hey, what's the deal, Michael? Why are you spying on our computers?",
2,9,E-Mail Surveillance,588,Oscar,Tin Man. Actually we just a got a memo from IT saying you're doing e-mail surveillance.,
2,9,E-Mail Surveillance,609,Angela,I'm a vegetarian.,
2,9,E-Mail Surveillance,611,Angela,I think it's alright. Jesus drank wine. ,
2,10,Christmas Party,632,Toby,I got Angela. She is into these posters of babies dressed as adults. I got her one of those. I felt kind of weird buying that.,
2,10,Christmas Party,644,Angela,Michael should have asked the party planning committee first. He's not supposed to just spring things on us out of nowhere. ,
2,11,Booze Cruise,690,Oscar,"Last year, Michael's theme was ""Bowl over the Competition!"" So guess where we went.",
2,13,The Secret,763,Angela,I agree it's unacceptable. ,
2,13,The Secret,765,Oscar,I feel nauseous and my heads killing.,
2,13,The Secret,765,Oscar,Michael is there anything you need from me? I'd like to go back to bed.,
2,13,The Secret,784,Angela,This is from Hooters.,
2,13,The Secret,784,Angela,Did Toby approve this?,
2,13,The Secret,784,Toby,You just got your corporate credit card back. Do you really want me to take it away again?,
2,13,The Secret,786,Toby,I'm not processing this.,
2,13,The Secret,786,Toby,He seems fine to me.,
2,13,The Secret,787,Angela,"It's nobody's business, Phyllis. Roy.",
2,13,The Secret,793,Oscar,Are you going to tell Michael?,
2,14,The Carpet,807,Toby,That's no burst pipe.,
2,14,The Carpet,826,Oscar,"What happened in Michael's office was wrong. I understand it , it makes sense  But it... it was still wrong.",
2,14,The Carpet,833,Angela,We haven't finished getting things in order from your last visit.,
2,14,The Carpet,833,Oscar,"It's just that we're really swamped over here, Michael.",
2,14,The Carpet,836,Oscar,Are you kidding? I thought it was you.,
2,15,Boys & Girls,854,Jan,"So, I'm happy to be here. It's very nice to see all of you. You're all looking well.",
2,15,Boys & Girls,856,Jan,"Women today, though we have the same options as men, we often face a very different set of obstacles in getting there. So...",
2,15,Boys & Girls,856,Jan,Michael... I thought we agreed you wouldn't be here.,
2,15,Boys & Girls,856,Jan,You are not allowed in this session.,
2,15,Boys & Girls,856,Jan,Now you're really not allowed in this session.,
2,15,Boys & Girls,858,Jan,"Ladies, I am so, so sorry. Can we start again? We were on such a roll. I... I... really apologize.",
2,15,Boys & Girls,859,Jan, So one obstacle is how assertiveness is perceived differently in men and women. Men who are assertive will be admired. They're called... anyone?,
2,15,Boys & Girls,863,Jan,"I don't know what you're doing here, Michael,",
2,15,Boys & Girls,863,Jan,... but it's very destructive.,
2,15,Boys & Girls,863,Jan,"Can you please do this somewhere else, Michael?",
2,15,Boys & Girls,863,Jan,"Dwight, excellent idea. Go to the warehouse.",
2,15,Boys & Girls,866,Jan,"I'm so sorry about that... um... so where were we? Pam, are you okay taking notes then?",
2,15,Boys & Girls,866,Jan,Please? Thank you. very much.,
2,15,Boys & Girls,869,Jan,Why don't we go around the table and all say something that we know we're good at. I will start. I am good at public speaking.,
2,15,Boys & Girls,869,Jan,No. Okay. Stop. Go on...,
2,15,Boys & Girls,869,Angela,I've seen some of your spreadsheets.,
2,15,Boys & Girls,875,Jan,That is an excellent goal.,
2,15,Boys & Girls,876,Jan,"Well, I'll be honest. One of the goals of these women seminars is to feel out if there's any standouts. Women who could be a valuable addition to our Corporate life.",
2,15,Boys & Girls,880,Jan,"Great, great. And Pam, what about you? What is your dream?",
2,15,Boys & Girls,880,Jan,You know the company is offering a design training program in New York.,
2,15,Boys & Girls,880,Jan,"Well, it's only on weekends and then a few weeks in New York, but I'm sure that I could ask Corporate to help you out.",
2,15,Boys & Girls,880,Jan,There are always a million reasons not to do something.,
2,15,Boys & Girls,882,Jan,All right. Let's talk about clothing.,
2,15,Boys & Girls,884,Jan,"Dress for the job you want, not the job you have. All right. You can use your clothing to send a message about your ambitions by wearing clothes that reflect what you aspire to be.",
2,15,Boys & Girls,885,Angela,"I'm not gaining anything from this seminar. I'm a professional woman. The head of accounting. I'm in the healthiest relationship of my life. I just think it's insulting that Jan thinks we need this. And, apparently, judging from her outfit, Jan aspires to be a whore.",
2,15,Boys & Girls,887,Jan,Another issue is inequality of pay between men and women. I'm sure that all of you have felt that before...,
2,15,Boys & Girls,889,Jan,"The cons are that everyone will lose their job. Michael. Everyone. Office, Warehouse. What do you think... the... pros... are... here?",
2,15,Boys & Girls,889,Jan,"You got yourself into this Michael, so you get yourself out.",
2,15,Boys & Girls,891,Jan,"Sports metaphors are one of the ways women feel left out of the language of the office. Now, I know this might sound silly but a ... many women ask to go over it. So... Fumble means...",
2,15,Boys & Girls,891,Jan,"Right. Par for the course is a golf term. It means right on track. Below par means worse. Wait... that should mean better, that doesn't make sense.",
2,15,Boys & Girls,892,Jan," Kelly, I don't know what Michael's talking about.",
2,15,Boys & Girls,894,Angela,Are you married?,
2,15,Boys & Girls,894,Jan,I think you should all spend a little more time thinking about your careers and less time on personal stuff.,
2,15,Boys & Girls,894,Angela,"At least you don't have kids. You have no kids, right? Thank God.",
2,15,Boys & Girls,894,Jan,Okay. Let's take five. I think we can all use five.,
2,15,Boys & Girls,895,Jan,Did you take care of the situation?,
